year,neighborhood,most_popular_species,species_count
2001,Ingleside, Brazilian Pepper,19
2001,Inner Richmond, American Sweet Gum,18
2001,Lake Merced, Bailey's Acacia,24
2001,Lower Pacific Heights, Ash,9
2001,Marina, Bailey's Acacia,3
2001,Mission, American Sweet Gum,21
2001,Nob Hill, Bailey's Acacia,2
2001,North Beach, Ash,11
2001,Outer Richmond, American Sweet Gum,6
2001,Panhandle, American Sweet Gum,12
2001,Portola, Australian Tea Tree,21
2001,Rincon Hill, Brisbane Box,17
2001,SoMa, Brisbane Box,6
2001,South Beach, American Sweet Gum,58
2001,Sunset, Bailey's Acacia,8
2001,Taraval, Cajeput,23
2001,Tenderloin, Brisbane Box,15
2001,Twin Peaks, Brisbane Box,3
2002,Bayshore, Australian Tea Tree,14
2002,Bayview, Banyan Fig,24
2002,Castro, American Sweet Gum,7
2002,Chinatown, Chinese Banyan,2
2002,Financial District, Evergreen Pear,7
2002,Ingleside, Ash,17
2002,Inner Richmond, Australian Tea Tree,37
2002,Lake Merced, Australian Tea Tree,29
2002,Lower Pacific Heights, Australian Willow,10
2002,Marina, Ash-colored Eucalyptus,14
2002,Mission, American Sweet Gum,31
2002,Nob Hill, Brazilian Pepper,23
2002,North Beach, Brazilian Pepper,7
2002,Outer Richmond, American Sweet Gum,16
2002,Panhandle, American Sweet Gum,23
2002,Portola, Australian Tea Tree,41
2002,Rincon Hill, Brisbane Box,11
2002,SoMa, American Sweet Gum,43
2002,South Beach, American Sweet Gum,24
2002,Sunset, Australian Tea Tree,38
2002,Taraval, Australian Tea Tree,16
2002,Tenderloin, Blackwood Acacia,10
2002,Twin Peaks, Australian Tea Tree,10
2003,Bayshore, Australian Tea Tree,12
2003,Bayview, Australian Tea Tree,17
2003,Castro, Bailey's Acacia,8
2003,Chinatown, Brisbane Box,1
2003,Financial District, Bailey's Acacia,3
2003,Ingleside, Aristocrat Callery Pear,57
2003,Inner Richmond, Bailey's Acacia,3
2003,Lake Merced, Australian Tea Tree,4
2003,Lower Pacific Heights, American Sweet Gum,19
2003,Marina, Bailey's Acacia,9
2003,Mission, American Sweet Gum,20
2003,Nob Hill, Bailey's Acacia,10
2003,North Beach, American Sweet Gum,3
2003,Outer Richmond, Bailey's Acacia,8
2003,Panhandle, American Sweet Gum,20
2003,Portola, Blackwood Acacia,45
2003,Rincon Hill, Brisbane Box,27
2003,SoMa, Bailey's Acacia,38
2003,South Beach, Aristocrat Callery Pear,13
2003,Sunset, American Sweet Gum,9
